sample,group,short_reads_1,short_reads_2,long_reads
SRR12557734,SRS5300636,/mnt/archgen/users/richtermeier/bachelor_thesis/03-data/processed_data/UT30.3_1.fastq.gz,/mnt/archgen/users/richtermeier/bachelor_thesis/03-data/processed_data/UT30.3_2.fastq.gz,
SRR12557733,SRS5300648,/mnt/archgen/users/richtermeier/bachelor_thesis/03-data/processed_data/UT43.2_1.fastq.gz,/mnt/archgen/users/richtermeier/bachelor_thesis/03-data/processed_data/UT43.2_2.fastq.gz,
SRR12557722,SRS5300659,/mnt/archgen/users/richtermeier/bachelor_thesis/03-data/processed_data/AW107_AZ107_1.fastq.gz,/mnt/archgen/users/richtermeier/bachelor_thesis/03-data/processed_data/AW107_AZ107_2.fastq.gz,
SRR12557711,SRS5300666,/mnt/archgen/users/richtermeier/bachelor_thesis/03-data/processed_data/AW108_AZ108_1.fastq.gz,/mnt/archgen/users/richtermeier/bachelor_thesis/03-data/processed_data/AW108_AZ108_2.fastq.gz,
SRR12557707,SRS5300667,/mnt/archgen/users/richtermeier/bachelor_thesis/03-data/processed_data/AW110A_AZ110A_1.fastq.gz,/mnt/archgen/users/richtermeier/bachelor_thesis/03-data/processed_data/AW110A_AZ110A_2.fastq.gz,
SRR12557706,SRS5300670,/mnt/archgen/users/richtermeier/bachelor_thesis/03-data/processed_data/Zape1_1.fastq.gz,/mnt/archgen/users/richtermeier/bachelor_thesis/03-data/processed_data/Zape1_2.fastq.gz,
SRR12557705,SRS5300669,/mnt/archgen/users/richtermeier/bachelor_thesis/03-data/processed_data/Zape2_1.fastq.gz,/mnt/archgen/users/richtermeier/bachelor_thesis/03-data/processed_data/Zape2_2.fastq.gz,
SRR12557704,SRS5300638,/mnt/archgen/users/richtermeier/bachelor_thesis/03-data/processed_data/Zape3_1.fastq.gz,/mnt/archgen/users/richtermeier/bachelor_thesis/03-data/processed_data/Zape3_2.fastq.gz,
